Ward NO,Beds,area covered,Services,Staff,Contact,Sl No.,No of Applications,Total Collection (Amount in lakhs),Area (sq km)_x,Lakes #_x,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,Community bins/ compactor bins/ Dhalaos etc-Commercial Waste quantity (TPD),Community bins/ compactor bins/ Dhalaos etc-Size of bins/ containers (L),Community bins/ compactor bins/ Dhalaos etc-Year of purchase,Total no. of Households,Govt Schools #_x,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,State Code,HH condition - total,HH condition - Good,HH Condition - Livable,HH Condition - Dilapidated,HH Residence - total,HH Residence - Good,HH Residence - Livable,HH residence - dilapidated,HH residence-cum-other-use total,HH residence-cum-other-use Good,HH residence-cum-other-use Livable,HH residence-cum-other-use Dilapidated,Roof - Grass/ Thatch/ Bamboo/ Wood/Mud etc.,Roof - Plastic/ Polythene,Roof - Hand made Tiles,Roof - Machine made Tiles,Roof - Burnt Brick,Roof - Stone/ Slate,Roof - G.I./Metal/ Asbestos sheets,Roof - Concrete,Roof - Any other material,Wall - Grass/ Thatch/ Bamboo etc.,Wall - Plastic/ Polythene,Wall - Mud/Unburnt brick,Wall - Wood,Wall -Stone not packed with mortar,Wall - Stone packed with mortar,Wall -G.I./ Metal/ Asbestos sheets,Wall - Burnt brick,Wall - Concrete,Wall - Any other material,Floor - Mud,Floor - Wood/ Bamboo,Floor - Burnt Brick,Floor - Stone,Floor - Cement,Floor - Mosaic/ Floor tiles,Floor - Any other material,Dwelling rooms - No exclusive room,Dwelling rooms - One room,Dwelling rooms - Two rooms,Dwelling rooms - Three rooms,Dwelling rooms - Four rooms,Dwelling rooms - Five rooms,Dwelling rooms - Six rooms and above,HH Size - 1,HH Size - 2,HH Size - 3,HH Size - 4,HH Size - 5,HH Size - 6-8,HH Size - 9+,Ownership - Owned,Ownership -  Rented,Ownership -  Any others,Married Couple - None,Married Couple - 1,Married Couple - 2,Married Couple - 3,Married Couple - 4,Married Couple - 5+,Drinking Water - Tapwater from treated source,Drinking Water - Tapwater from un-treated source,Drinking Water - Covered well,Drinking Water - Un-covered well,Drinking Water - Handpump,Drinking Water - Tubewell/Borehole,Drinking Water - Spring,Drinking Water - River/Canal,Drinking Water - Tank/Pond/Lake,Drinking Water -  Other sources,Drinking water source - Within premises,Drinking water source - Near premises,Drinking water source - Away,Lighting - Electricity,Lighting - Kerosene,Lighting - Solar energy,Lighting - Other oil,Lighting - Any other,Lighting - No lighting,Number of households having latrine facility within the premises,Flush lutrince connected to Piped sewer system,Flush lutrince connected to Septic tank,Flush lutrince connected to Other system,Pit latrine With slab/ventilated improved pit,Pit Latrine - Without slab/  open pit,Night soil disposed into open drain,Night soil removed by human,Night soil serviced by animal,Number of households not having latrine facility within the premises,Alternative source -Public latrine,Alternative source - Open,bathing facility within the premises -Bathroom,bathing facility within the premises - Enclosure without roof,bathing facility within the premises - No,Waste water outlet connected to Closed drainage,Waste water outlet connected to Open drainage,Waste water outlet connected to No drainage,Type of Cooking Fuel - Fire-wood,Type of Cooking Fuel - Crop residue,Type of Cooking Fuel - Cowdung cake,"Type of Cooking Fuel - Coal,Lignite,Charcoal",Type of Cooking Fuel -  Kerosene,Type of Cooking Fuel -  LPG/PNG,Type of Cooking Fuel -  Electricity,Type of Cooking Fuel - Biogas,Type of Cooking Fuel - Any other,Type of Cooking Fuel - No cooking,Kitchen Facility Total,Kitchen Facility  - Cooking inside house,Kitchen Facility  - Cooking inside house - Has Kitchen,Kitchen Facility  - Cooking inside house - Does not have kitchen,Kitchen Facility  - Cooking outside house:,Kitchen Facility  - Cooking outside house: Has Kitchen,Kitchen Facility  - Cooking outside house: Does not have kitchen,Kitchen Facility  - Cooking outside house: No Cooking,Total number of households availing banking services,Availability of assets - Radio/Transistor,Availability of assets - Television,Availability of assets Computer/Laptop - With Internet,Availability of assets Computer/Laptop - Without Internet,Availability of assets Landline only,Availability of assets Mobile only,Availability of assets Both,HH with Bicycle,HH - Scooter/ Motorcycle/Moped,HH - Car/ Jeep/Van,"HH - Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",None of the assets specified in prev column,Type of structure of census house - Permanent,Type of structure of census house - Semi-Permanent,Type of structure of census house - Total Temporary,Type of structure of census house - Serviceable,Type of structure of census house - Non-Serviceable,Type of structure of census house - Unclassifiable,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons),Area (sq km)_y,Lakes #_y,Playgrounds #,Govt Schools #_y,Police Stations #,Fire stations #,BMTC TTMC #,Waste Quantity (TPD),Collection Vehicle details-Capacity (in cubic meters),Collection Vehicle details-Year of purchase,Collection Vehicle details-Nos of Vehicle,Collection Vehicle details-Frequency of trips /day,Number of Connections,Consumption in ML
117,,,,,,945,14723,2145.43,2.7,0,1.895,0.0,0.0,1.3,0.0,0.0,9465,2,42095,22237,19858,6246,3098,3148,649,338,311,29,100,71.7,24.6,3.8,99.0,70.9,24.3,3.8,1.0,0.7,0.3,0.0,0.7,0.2,1.2,0.5,0.5,3.1,13.9,79.6,0.2,0.2,0.0,6.1,0.2,9.7,13.6,1.0,30.3,38.8,0.1,0.7,0.0,0.1,0.8,36.0,60.7,1.6,3.1,35.0,30.4,20.0,7.2,2.2,2.1,4.0,10.9,17.5,29.4,17.6,16.6,4.0,46.0,50.6,3.4,13.9,73.1,10.5,1.9,0.4,0.1,96.8,1.7,0.3,0.1,0.1,0.6,0.0,0.1,0.2,0.1,89.6,8.8,1.6,98.2,1.4,0.1,0.1,0.1,0.1,98.6,93.9,0.8,3.7,0.2,0.0,0.0,0.0,0.0,1.4,1.1,0.3,97.9,1.4,0.8,98.3,0.6,1.1,5.1,0.4,0.0,0.0,13.8,77.4,0.2,2.7,0.1,0.3,100,99.2,96.7,2.4,0.6,0.3,0.3,0.3,70.4,49.3,91.9,24.2,17.6,15.7,58.6,20.3,28.9,49.7,25.0,30.6,0.9,92.5,7.0,0.2,0.1,0.1,0.3,23951,18144,42095,2.7,0,2,2,0,0,1,14.55,0.5,0.0,21,2,6211,242.18
118,,,,,,948,8789,3938.2699999999995,1.0,0,2.305,0.0,0.0,4.4,0.0,0.0,5953,4,28784,14447,14337,10840,5288,5552,297,133,164,29,100,64.9,33.8,1.3,99.6,64.6,33.7,1.2,0.4,0.2,0.1,0.1,1.8,0.6,2.8,0.8,0.6,9.7,33.6,50.1,0.1,0.3,0.2,5.3,0.4,5.9,4.8,1.0,70.8,11.2,0.1,1.4,0.2,0.5,0.5,76.8,20.4,0.2,19.8,48.8,18.3,7.7,2.9,1.1,1.4,2.1,7.2,13.4,24.1,22.5,25.0,5.7,62.1,35.4,2.5,12.2,74.7,10.9,1.7,0.3,0.2,85.3,11.0,0.3,0.1,0.1,2.8,0.0,0.0,0.1,0.3,62.2,30.9,7.0,96.5,3.3,0.1,0.0,0.0,0.1,66.8,59.8,2.2,2.8,1.3,0.0,0.3,0.2,0.1,33.2,29.0,4.2,75.2,8.3,16.5,82.9,11.3,5.8,9.2,1.1,0.1,0.1,46.0,37.3,0.2,5.5,0.0,0.5,100,98.8,77.9,20.9,0.7,0.5,0.2,0.5,37.3,19.2,82.2,8.8,16.2,7.1,74.9,6.0,11.4,26.5,8.8,11.3,3.0,92.2,6.6,1.0,0.9,0.1,0.2,16275,12509,28784,1.0,0,0,4,1,0,0,11.72,0.5,0.0,17,2,5142,100.95
119,,,,,,1504,25057,4727.15,1.1,0,1.61,0.0,0.0,13.6,0.0,0.0,5485,1,27076,14156,12920,1990,1014,976,150,81,69,29,100,80.1,18.2,1.8,98.7,79.4,17.6,1.7,1.3,0.7,0.6,0.1,1.8,0.6,0.7,0.9,1.1,2.9,7.8,84.1,0.0,0.4,0.1,2.7,0.5,1.9,11.4,0.4,44.5,38.0,0.1,0.7,0.3,1.0,3.1,44.0,49.6,1.3,4.4,30.8,32.8,19.5,6.3,3.4,2.9,2.1,7.5,15.3,25.4,19.5,21.6,8.5,46.0,48.8,5.2,11.3,69.2,14.2,3.9,1.1,0.2,93.7,1.6,0.5,0.4,0.2,3.2,0.0,0.0,0.0,0.3,87.9,9.5,2.6,99.4,0.5,0.0,0.0,0.0,0.0,99.5,99.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.3,0.2,99.0,0.6,0.4,98.7,1.2,0.0,4.7,0.1,0.0,0.0,9.2,84.3,0.1,1.2,0.1,0.2,100,99.4,96.9,2.6,0.3,0.2,0.2,0.2,74.9,43.7,91.0,15.0,15.4,10.7,63.2,21.8,17.9,52.2,10.8,21.0,1.0,94.7,4.1,1.0,0.8,0.2,0.1,17226,9850,27076,1.1,0,0,1,1,0,0,11.02,0.5,0.0,30,2,4977,100.52
120,0.0,0.0,0.0,0.0,0.0,954,13806,1539.17,0.8,0,3.45,0.0,0.0,5.02,0.0,0.0,8652,2,37344,19213,18131,5438,2764,2674,446,236,210,29,100,70.1,29.3,0.7,99.0,69.7,28.7,0.7,1.0,0.4,0.6,0.0,0.4,0.1,0.9,0.8,0.4,4.7,14.5,78.2,0.0,0.0,0.0,6.1,0.0,2.4,6.7,0.2,51.5,32.8,0.1,0.4,0.0,0.3,1.9,58.7,38.5,0.1,4.9,43.2,33.6,14.0,3.1,0.6,0.6,3.0,9.3,16.6,31.1,20.1,16.0,3.8,33.6,65.3,1.1,12.6,76.9,8.6,1.6,0.3,0.1,92.5,2.6,0.2,0.1,0.1,4.0,0.0,0.0,0.2,0.1,88.3,9.1,2.6,99.1,0.6,0.0,0.1,0.0,0.2,97.0,94.9,1.0,0.6,0.3,0.0,0.1,0.0,0.0,3.0,3.0,0.0,97.3,0.9,1.8,99.3,0.6,0.1,5.9,0.3,0.0,0.0,19.3,73.8,0.1,0.2,0.0,0.4,100,99.4,97.9,1.5,0.2,0.0,0.2,0.4,44.1,23.7,90.3,6.8,11.2,7.4,70.6,9.6,15.1,34.6,6.2,10.3,2.4,93.4,6.4,0.2,0.2,0.0,0.1,22434,14910,37344,0.8,0,0,2,1,0,0,14.3,0.5,0.0,30,2,3068,63.19
121,0.0,122.0,0.0,0.0,22975682.0,957,8423,1192.36,0.8,0,2.48,0.0,0.0,6.5,0.0,2016.0,9061,1,37354,19156,18198,4561,2310,2251,981,491,490,29,100,83.4,16.1,0.4,99.1,82.8,15.8,0.4,0.9,0.6,0.3,0.0,0.6,0.2,1.9,0.8,0.1,4.2,17.1,74.9,0.0,0.2,0.0,3.6,0.0,5.6,7.3,0.1,64.6,18.6,0.0,0.3,0.1,0.2,0.3,58.2,40.5,0.4,4.3,42.0,35.3,15.1,2.5,0.5,0.3,3.5,10.2,18.0,32.4,18.8,14.7,2.6,26.2,72.0,1.8,13.8,75.8,8.9,1.3,0.2,0.0,97.1,1.8,0.1,0.0,0.0,0.9,0.1,0.0,0.0,0.0,95.3,3.9,0.8,99.0,0.8,0.0,0.0,0.0,0.0,99.9,98.2,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,99.5,0.4,0.1,98.5,1.2,0.3,1.0,0.2,0.0,0.0,22.7,74.1,0.1,1.4,0.1,0.5,100,99.4,98.3,1.2,0.1,0.1,0.0,0.5,42.8,29.2,87.6,4.7,10.7,5.5,76.4,5.9,14.9,30.0,4.5,6.9,2.4,95.5,4.2,0.2,0.1,0.1,0.1,21397,15957,37354,0.8,0,1,1,2,0,0,14.3,0.5,0.0,18,2,4568,97.98
122,,,,,,960,7105,395.4,0.4,0,1.74,0.0,0.0,0.914,0.0,2016.0,10051,1,40032,20374,19658,1073,540,533,2395,1229,1166,29,100,72.3,26.7,1.1,99.3,71.9,26.3,1.1,0.7,0.4,0.3,0.0,0.7,0.9,0.8,0.4,0.8,4.7,19.7,71.3,0.8,0.1,0.0,1.0,0.0,6.5,7.6,0.1,72.7,11.8,0.2,0.1,0.9,0.2,0.8,66.4,31.5,0.1,7.6,47.2,35.9,7.6,1.1,0.3,0.3,3.1,11.3,20.0,35.2,16.6,12.2,1.6,20.8,77.2,1.9,14.0,77.3,7.5,1.0,0.2,0.1,95.8,3.9,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.1,95.7,3.5,0.8,99.3,0.6,0.0,0.0,0.0,0.0,98.3,96.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.3,1.4,98.8,1.0,0.2,99.5,0.5,0.0,1.0,0.1,0.0,0.0,22.9,75.5,0.1,0.1,0.0,0.4,100,99.6,98.5,1.0,0.0,0.0,0.0,0.4,37.6,37.7,86.8,2.5,7.5,5.8,75.4,2.2,11.3,20.5,2.8,4.0,3.6,96.5,2.6,0.1,0.0,0.1,0.8,21578,18454,40032,0.4,0,0,1,0,0,0,15.32,0.5,0.0,19,2,3902,83.09
123,,,,,,963,11221,1196.6,0.7,0,2.17,0.0,0.0,1.43,0.0,0.0,9943,1,40331,20905,19426,1897,985,912,606,316,290,29,100,77.0,22.7,0.3,99.3,76.7,22.4,0.3,0.7,0.4,0.3,0.0,0.5,0.4,0.6,0.3,0.4,3.0,8.1,86.6,0.1,0.1,0.2,3.6,0.0,5.0,7.3,0.2,76.6,6.9,0.0,1.0,0.0,0.1,7.4,34.7,56.6,0.2,5.5,29.8,37.4,17.7,6.2,2.1,1.2,3.5,11.3,22.2,32.5,15.9,11.7,2.9,31.5,64.5,4.0,15.7,71.2,10.6,2.0,0.4,0.1,95.3,1.3,0.2,0.0,0.0,3.0,0.0,0.0,0.0,0.2,92.9,6.4,0.6,99.5,0.4,0.0,0.1,0.0,0.0,99.9,99.6,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,99.8,0.2,0.1,99.8,0.2,0.1,1.2,0.1,0.0,0.0,8.3,89.0,0.2,0.7,0.0,0.5,100,99.3,98.6,0.8,0.2,0.0,0.2,0.5,76.2,48.1,90.9,12.7,17.6,6.0,71.4,18.4,19.1,48.7,14.1,20.4,0.8,95.2,4.5,0.2,0.0,0.2,0.1,23169,17162,40331,0.7,0,3,1,0,0,0,15.43,0.5,0.0,19,2,3605,82.15
124,0.0,133.0,0.0,0.0,0.0,966,10258,919.11,0.9,0,1.16,0.0,0.0,1.998,0.0,2016.0,9068,1,37347,18944,18403,4817,2431,2386,851,447,404,29,100,73.7,25.4,0.9,99.4,73.4,25.1,0.9,0.6,0.3,0.3,0.0,1.1,0.5,0.9,0.9,0.3,2.5,12.2,81.4,0.1,0.3,0.3,4.9,0.0,2.6,18.2,0.3,61.8,11.0,0.3,2.3,0.3,0.2,3.1,35.1,58.3,0.7,10.8,45.3,25.9,12.6,3.7,1.1,0.7,3.3,11.1,20.9,32.3,16.2,13.4,2.7,32.0,65.5,2.5,13.5,75.0,9.3,1.8,0.3,0.1,94.9,2.5,0.3,0.2,0.4,1.6,0.0,0.0,0.0,0.1,93.5,5.9,0.7,99.1,0.6,0.0,0.2,0.0,0.0,99.6,98.7,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.4,0.2,0.2,99.3,0.5,0.2,98.3,1.5,0.1,2.7,0.3,0.1,0.0,18.7,77.2,0.2,0.2,0.0,0.6,100,99.1,97.9,1.3,0.2,0.1,0.2,0.6,67.4,48.4,88.6,18.5,19.3,11.2,60.0,20.0,20.9,48.6,19.9,28.2,2.3,92.9,6.1,0.6,0.2,0.4,0.5,21250,16097,37347,0.9,0,2,1,0,0,0,14.29,0.5,0.0,9,2,4509,103.65
125,,,,,,969,9756,947.98,0.7,0,2.33,0.0,0.0,15.124,0.0,0.0,5423,0,21171,10838,10333,748,386,362,215,105,110,29,100,87.4,12.3,0.3,99.2,86.8,12.1,0.3,0.8,0.5,0.2,0.0,0.5,0.2,0.9,0.4,0.3,2.6,4.7,90.2,0.1,0.1,0.1,2.0,0.1,3.0,6.6,0.5,66.6,20.9,0.1,2.1,0.1,0.3,1.3,14.6,81.3,0.3,5.0,24.6,30.5,24.6,10.4,2.8,2.2,3.1,14.4,25.0,29.6,13.3,12.2,2.5,48.2,48.3,3.5,14.2,71.0,12.2,2.3,0.2,0.1,92.7,3.0,0.2,0.2,0.1,3.5,0.0,0.0,0.0,0.2,97.4,2.1,0.5,99.2,0.7,0.0,0.0,0.0,0.0,98.4,94.5,1.0,0.0,2.3,0.3,0.1,0.2,0.0,1.6,0.5,1.0,98.3,1.4,0.3,98.6,1.1,0.3,2.6,0.3,0.0,0.0,4.1,92.0,0.3,0.1,0.0,0.6,100,99.0,98.7,0.4,0.4,0.2,0.2,0.6,91.7,70.1,94.5,39.2,26.8,18.1,44.1,35.5,28.5,65.4,35.4,50.1,0.2,97.0,2.7,0.2,0.0,0.1,0.2,11941,9230,21171,0.7,0,1,0,1,0,0,8.58,0.5,0.0,11,2,3392,90.52
126,0.0,127.0,0.0,0.0,22975768.0,972,11424,889.03,0.8,0,1.25725,0.0,0.0,4.4,0.0,0.0,7716,2,29319,15225,14094,1468,758,710,356,182,174,29,100,84.5,14.6,0.9,99.3,83.9,14.4,0.9,0.7,0.5,0.2,0.0,0.6,0.3,0.2,0.5,0.1,2.5,10.5,85.1,0.1,0.1,0.0,3.5,0.0,6.3,22.5,0.7,38.4,28.3,0.0,0.7,0.1,0.1,0.0,20.6,77.2,1.4,4.2,28.1,34.3,21.5,7.7,2.6,1.5,4.2,14.1,25.2,30.0,14.1,10.4,2.1,38.8,57.2,3.9,16.3,72.2,9.8,1.5,0.1,0.0,92.4,1.6,0.0,0.1,0.1,5.2,0.0,0.0,0.2,0.2,96.1,3.7,0.2,98.9,0.7,0.0,0.3,0.0,0.0,99.2,98.5,0.3,0.1,0.2,0.1,0.0,0.0,0.1,0.8,0.3,0.4,99.1,0.7,0.2,99.2,0.5,0.3,3.5,0.2,0.0,0.0,7.4,87.5,0.2,0.2,0.1,1.0,100,98.8,98.3,0.6,0.2,0.1,0.1,1.0,80.0,48.0,91.0,25.4,25.3,10.2,63.2,22.5,22.9,57.1,23.7,36.4,1.0,95.5,4.2,0.1,0.0,0.1,0.2,16381,12938,29319,0.8,0,0,2,0,0,0,11.88,0.5,0.0,12,2,4023,100.01
127,,,,,,975,15909,1021.97,1.0,0,2.45,0.0,0.0,1.14,0.0,2016.0,11125,3,43729,22625,21104,2362,1205,1157,797,412,385,29,100,71.9,27.9,0.2,98.8,71.3,27.3,0.2,1.2,0.6,0.6,0.0,0.5,0.6,0.3,0.2,0.2,3.1,22.5,72.5,0.1,0.1,0.3,3.9,0.1,1.5,22.8,0.1,57.2,13.8,0.1,0.6,0.1,0.1,0.7,32.8,64.8,0.9,5.7,32.5,35.5,19.8,4.9,1.1,0.6,3.1,11.8,23.5,32.8,15.6,11.3,1.9,30.7,65.4,3.9,14.4,75.5,8.5,1.3,0.3,0.0,93.9,2.5,0.0,0.1,0.1,2.7,0.1,0.3,0.1,0.2,95.6,3.9,0.5,98.9,0.8,0.0,0.1,0.1,0.2,98.5,95.8,1.3,0.8,0.3,0.0,0.0,0.2,0.1,1.5,0.3,1.2,99.1,0.5,0.4,98.8,0.4,0.8,2.5,0.1,0.1,0.0,15.8,80.4,0.2,0.1,0.1,0.7,100,99.1,98.1,0.9,0.2,0.0,0.2,0.7,70.9,39.4,88.3,11.2,17.3,3.9,80.4,10.4,18.5,48.2,13.1,19.8,1.6,94.7,4.8,0.4,0.0,0.4,0.1,24523,19206,43729,1.0,0,2,3,0,0,0,17.71,0.5,0.0,16,2,5848,125.66
128,0.0,0.0,0.0,0.0,0.0,978,13595,997.29,1.6,0,1.7,0.0,0.0,0.76,0.0,0.0,8255,8,35780,18239,17541,3020,1510,1510,490,238,252,29,100,78.0,18.8,3.2,99.1,77.5,18.4,3.2,0.9,0.5,0.4,0.0,1.8,0.3,2.5,0.6,0.7,2.4,28.3,63.4,0.1,0.5,0.1,3.7,0.1,1.1,2.0,0.6,89.7,2.2,0.1,1.6,0.0,0.2,2.6,41.5,54.0,0.1,8.8,38.7,27.8,16.4,5.3,1.8,1.2,2.6,9.7,19.5,28.7,18.3,17.7,3.4,47.0,50.8,2.2,10.9,76.7,10.2,1.7,0.4,0.1,94.1,2.3,0.1,0.0,0.0,3.0,0.1,0.0,0.0,0.4,90.7,8.3,1.0,98.4,0.9,0.0,0.0,0.5,0.1,94.4,91.7,0.6,1.8,0.1,0.0,0.2,0.0,0.1,5.6,4.8,0.8,97.1,0.7,2.2,90.9,8.0,1.1,5.7,0.1,0.1,0.2,24.3,69.1,0.1,0.1,0.0,0.3,100,99.3,96.5,2.8,0.4,0.2,0.2,0.3,60.8,43.3,85.4,21.1,18.2,6.6,63.5,21.4,21.2,48.0,22.9,29.8,3.0,94.2,4.8,0.9,0.5,0.3,0.2,20783,14997,35780,1.6,0,1,8,1,0,0,14.49,0.5,0.0,13,2,10844,266.41
129,,,,,,981,53510,3319.0299999999997,11.9,1,1.6185,0.0,0.0,3.66,0.0,0.0,17410,9,68132,35366,32766,7659,3874,3785,1819,970,849,29,100,78.7,20.4,0.8,99.0,78.1,20.0,0.8,1.0,0.6,0.4,0.0,0.6,0.5,1.0,0.6,0.1,3.0,24.0,70.1,0.1,0.2,0.3,2.4,0.0,4.4,24.0,0.3,54.5,13.7,0.2,0.9,0.0,0.0,1.3,35.6,60.7,1.4,14.6,42.1,24.2,10.6,4.7,2.1,1.7,2.9,11.8,22.9,34.9,15.0,11.0,1.5,36.7,60.3,3.0,12.6,77.8,8.4,1.1,0.1,0.0,45.7,27.8,0.1,0.0,0.1,25.9,0.0,0.0,0.0,0.3,85.0,13.4,1.6,98.3,1.5,0.1,0.1,0.0,0.1,98.0,90.1,2.9,0.1,4.8,0.0,0.1,0.0,0.0,2.0,0.4,1.6,98.2,0.7,1.1,89.9,7.8,2.3,3.5,0.2,0.1,0.0,15.5,79.9,0.1,0.3,0.0,0.4,100,98.9,97.7,1.2,0.7,0.2,0.5,0.4,68.5,55.6,86.4,14.6,15.7,5.4,74.6,12.6,16.9,47.3,19.0,22.6,2.2,96.3,3.0,0.5,0.1,0.4,0.3,39668,28464,68132,11.9,1,6,9,1,0,0,27.16,0.5,0.0,29,2,13819,350.11
130,,,,,,984,46223,1919.1,8.7,3,1.6185,0.0,0.0,1.496,0.0,0.0,14511,4,58199,30069,28130,7461,3819,3642,1365,699,666,29,100,75.9,22.5,1.6,99.2,75.3,22.3,1.6,0.8,0.5,0.3,0.0,1.0,1.6,1.6,0.6,0.1,3.2,42.9,48.9,0.0,0.4,1.4,3.8,0.1,6.0,20.8,0.3,49.0,17.5,0.6,2.7,0.1,1.0,1.7,51.9,41.8,0.8,12.2,38.2,26.0,15.7,4.7,1.7,1.5,3.1,11.6,20.7,33.7,16.4,12.9,1.5,47.0,50.9,2.0,12.9,78.3,7.6,1.1,0.1,0.0,29.9,32.4,0.2,0.2,0.5,36.2,0.0,0.0,0.3,0.2,75.5,21.1,3.4,95.4,4.0,0.0,0.2,0.1,0.3,91.3,58.0,9.6,3.8,19.6,0.1,0.2,0.0,0.1,8.7,1.5,7.2,94.5,2.9,2.6,54.2,38.3,7.5,7.4,0.6,0.1,0.1,22.9,67.9,0.1,0.5,0.0,0.5,100,98.7,96.3,2.5,0.7,0.3,0.5,0.5,56.8,36.8,80.6,8.3,15.2,4.9,74.1,6.4,18.0,36.3,11.4,15.3,5.4,92.9,4.6,1.8,0.3,1.5,0.6,34149,24050,58199,8.7,3,10,4,0,0,0,53.25,0.5,0.0,39,2,9051,197.33
131,0.0,158.0,0.0,0.0,22975890.0,987,8433,725.68,2.1,1,2.72,0.0,0.0,2.64,0.0,2016.0,10285,2,42785,22051,20734,5309,2671,2638,704,371,333,29,100,72.3,25.4,2.2,99.3,71.9,25.3,2.1,0.7,0.4,0.1,0.1,10.0,0.4,1.2,0.9,0.8,6.3,22.6,57.8,0.1,8.3,0.2,2.7,0.1,1.0,1.4,0.1,84.3,1.6,0.4,9.3,0.2,0.3,0.0,49.2,40.9,0.1,24.9,46.1,18.9,6.0,2.8,0.7,0.6,2.6,11.0,19.3,31.0,17.3,16.5,2.3,27.6,65.7,6.8,12.6,78.8,7.3,1.0,0.2,0.0,82.9,11.6,0.3,0.2,0.1,3.1,0.1,0.0,1.3,0.4,78.3,18.1,3.6,95.0,4.0,0.6,0.0,0.0,0.4,89.2,83.4,3.7,0.4,1.5,0.2,0.0,0.0,0.0,10.8,8.4,2.5,90.9,6.9,2.2,79.9,12.1,8.0,12.0,0.4,0.0,0.0,24.4,62.1,0.1,0.6,0.1,0.3,100,94.0,88.1,5.9,5.7,0.3,5.5,0.3,42.1,24.0,78.4,4.2,6.8,2.7,76.8,4.0,12.9,25.6,4.9,6.0,7.4,87.0,3.7,8.9,0.7,8.2,0.4,21641,21144,42785,2.1,1,1,2,0,0,0,17.33,0.5,0.0,16,2,4357,125.09
132,0.0,134.0,0.0,0.0,22975793.0,990,16649,1545.46,1.4,0,5.495,0.0,0.0,1.49,0.0,2016.0,10576,0,41487,21447,20040,2268,1171,1097,424,210,214,29,100,85.6,13.3,1.1,99.4,85.3,13.0,1.1,0.6,0.3,0.2,0.0,0.6,0.4,0.4,0.2,0.1,2.9,12.1,83.2,0.0,0.2,0.1,1.4,0.0,7.8,9.6,0.3,63.2,17.5,0.1,0.7,0.1,0.1,2.3,20.7,76.1,0.1,3.0,22.9,36.7,24.6,8.8,2.6,1.4,4.0,12.8,23.6,29.9,14.6,12.9,2.2,38.6,59.0,2.4,14.0,74.6,9.5,1.6,0.2,0.1,93.6,1.7,0.0,0.1,0.0,4.3,0.1,0.0,0.1,0.2,97.5,2.0,0.5,98.9,1.0,0.0,0.0,0.0,0.0,99.2,98.6,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.8,0.4,0.4,98.6,0.8,0.6,98.6,0.6,0.7,4.6,0.1,0.0,0.1,6.3,88.0,0.4,0.1,0.1,0.4,100,99.3,98.2,1.1,0.3,0.1,0.2,0.4,86.3,61.8,91.5,31.6,18.8,16.2,57.9,22.7,22.1,62.5,30.2,40.0,1.1,97.5,2.1,0.3,0.1,0.1,0.1,24192,17295,41487,1.4,0,3,0,0,0,1,15.92,0.5,0.0,10,2,5479,171.64
133,,,,,,993,12167,1355.37,1.1,0,5.7,0.0,0.0,0.896,0.0,2016.0,8456,5,35113,17900,17213,4082,2116,1966,807,420,387,29,100,89.4,9.6,1.0,99.3,88.8,9.5,1.0,0.7,0.6,0.1,0.0,1.4,1.3,0.5,0.4,0.3,3.2,6.6,86.1,0.1,0.1,0.8,2.8,0.0,1.0,7.8,0.1,80.6,6.7,0.2,1.7,0.1,0.1,0.6,17.8,79.5,0.2,2.8,29.5,36.1,18.8,6.7,2.3,3.8,3.0,11.9,22.6,30.0,14.8,14.7,3.1,44.3,53.6,2.0,12.9,72.9,11.6,2.1,0.3,0.1,94.6,1.6,0.1,0.2,0.0,3.3,0.0,0.0,0.1,0.2,93.8,5.3,0.9,98.3,1.0,0.0,0.4,0.0,0.3,98.3,97.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.7,0.7,1.0,97.7,0.9,1.4,94.6,4.5,0.9,2.8,0.2,0.0,0.0,9.9,86.5,0.2,0.1,0.0,0.3,100,98.7,97.0,1.7,1.0,0.3,0.7,0.3,83.5,52.6,90.3,30.1,18.4,14.3,56.6,23.6,24.6,59.3,29.0,38.3,2.0,94.8,3.6,1.4,0.6,0.8,0.2,20821,14292,35113,1.1,0,1,5,0,0,0,13.48,0.5,0.0,9,2,3027,77.97
